Name,Threads,Optimization,Time,N
var714,6,O0,25.790000,2048
var714,6,Ofast,5.260000,2048
var714,6,O1,11.550000,2048
var714,6,O2,11.270000,2048
var714,7,O3,8.830000,2048
var714,7,O1,11.690000,2048
var714,7,O0,25.970000,2048
var714,7,O2,11.240000,2048
var714,7,Ofast,5.250000,2048
var714,8,O0,25.940000,2048
var714,8,O2,11.240000,2048
var714,8,O3,8.710000,2048
var714,8,Ofast,5.220000,2048
var714,8,O1,11.750000,2048
var714,9,O0,25.650000,2048
var714,9,Ofast,5.340000,2048
var714,9,O2,11.210000,2048
var714,9,O3,8.810000,2048
var714,9,O1,11.750000,2048
var714,10,O2,11.390000,2048
var714,10,Ofast,5.590000,2048
var714,10,O3,8.900000,2048
var714,10,O1,11.650000,2048
var714,10,O0,26.350000,2048
var714,20,Ofast,5.300000,2048
var714,20,O3,8.800000,2048
var714,20,O0,27.060000,2048
var714,20,O2,11.290000,2048
var714,20,O1,11.980000,2048
var714,40,Ofast,6.850000,2048
var714,40,O0,27.570000,2048
var714,40,O2,11.660000,2048
var714,40,O1,11.430000,2048
var714,40,O3,8.630000,2048
var714,60,O2,11.370000,2048
var714,60,O0,26.090000,2048
var714,60,O3,9.730000,2048
var714,60,O1,11.430000,2048
var714,60,Ofast,6.940000,2048
var714,80,O1,11.420000,2048
var714,80,O2,11.170000,2048
var714,80,O0,25.500000,2048
var714,80,O3,8.650000,2048
var714,80,Ofast,5.180000,2048
var714,100,O0,25.240000,2048
var714,100,Ofast,5.200000,2048
var714,100,O3,8.640000,2048
var714,100,O1,11.420000,2048
var714,100,O2,11.170000,2048
var714,120,O3,8.660000,2048
var714,120,Ofast,5.190000,2048
var714,120,O2,11.170000,2048
var714,120,O0,25.230000,2048
var714,120,O1,11.420000,2048
var714,140,O2,11.170000,2048
var714,140,O1,11.420000,2048
var714,140,Ofast,5.170000,2048
var714,140,O3,8.650000,2048
var714,140,O0,25.260000,2048
var714_parallel,1,O0,19.250387,2048
var714_parallel,1,O1,16.981960,2048
var714_parallel,1,O3,11.845159,2048
var714_parallel,1,Ofast,5.193021,2048
var714_parallel,1,O2,16.842908,2048
var714_parallel,2,Ofast,2.646448,2048
var714_parallel,2,O1,8.548731,2048
var714_parallel,2,O0,9.788014,2048
var714_parallel,2,O3,5.968742,2048
var714_parallel,2,O2,8.460977,2048
var714_parallel,3,O1,5.691408,2048
var714_parallel,3,Ofast,1.808279,2048
var714_parallel,3,O2,5.691066,2048
var714_parallel,3,O3,4.011157,2048
var714_parallel,3,O0,6.549005,2048
var714_parallel,4,Ofast,1.403027,2048
var714_parallel,4,O3,3.024656,2048
var714_parallel,4,O2,4.321631,2048
var714_parallel,4,O1,4.335231,2048
var714_parallel,4,O0,5.101852,2048
var714_parallel,5,O2,3.477270,2048
var714_parallel,5,O3,2.444958,2048
var714_parallel,5,O1,3.486202,2048
var714_parallel,5,Ofast,1.123765,2048
var714_parallel,5,O0,4.904500,2048
var714_parallel,6,O3,2.044000,2048
var714_parallel,6,Ofast,1.052129,2048
var714_parallel,6,O2,2.935645,2048
var714_parallel,6,O1,2.940920,2048
var714_parallel,6,O0,4.348292,2048
var714_parallel,7,O0,4.300994,2048
var714_parallel,7,O3,1.748678,2048
var714_parallel,7,Ofast,0.958265,2048
var714_parallel,7,O1,2.530630,2048
var714_parallel,7,O2,2.492306,2048
var714_parallel,8,O0,3.268440,2048
var714_parallel,8,O1,2.263060,2048
var714_parallel,8,O3,1.642948,2048
var714_parallel,8,O2,2.188407,2048
var714_parallel,8,Ofast,0.797525,2048
var714_parallel,9,O2,1.953854,2048
var714_parallel,9,Ofast,0.687052,2048
var714_parallel,9,O1,2.011243,2048
var714_parallel,9,O0,3.606085,2048
var714_parallel,9,O3,1.373994,2048
var714_parallel,10,Ofast,0.715876,2048
var714_parallel,10,O0,4.075692,2048
var714_parallel,10,O3,1.250601,2048
var714_parallel,10,O2,1.786139,2048
var714_parallel,10,O1,1.897575,2048
var714_parallel,20,O0,3.510410,2048
var714_parallel,20,Ofast,0.463740,2048
var714_parallel,20,O2,1.056398,2048
var714_parallel,20,O3,0.811296,2048
var714_parallel,20,O1,1.143635,2048
var714_parallel,40,O3,0.680644,2048
var714_parallel,40,O0,2.288597,2048
var714_parallel,40,O2,0.748022,2048
var714_parallel,40,O1,1.231661,2048
var714_parallel,40,Ofast,0.419436,2048
var714_parallel,60,O0,1.609781,2048
var714_parallel,60,O2,0.870421,2048
var714_parallel,60,O1,0.830299,2048
var714_parallel,60,O3,1.716322,2048
var714_parallel,60,Ofast,0.686274,2048
var714_parallel,80,O3,0.940549,2048
var714_parallel,80,O0,1.555135,2048
var714_parallel,80,O1,0.882834,2048
var714_parallel,80,O2,1.019589,2048
var714_parallel,80,Ofast,0.710065,2048
var714_parallel,100,O1,0.987173,2048
var714_parallel,100,O0,1.517261,2048
var714_parallel,100,O3,0.907961,2048
var714_parallel,100,Ofast,0.886067,2048
var714_parallel,100,O2,0.906153,2048
var714_parallel,120,O0,1.426730,2048
